ProtocolID,Section,Question,ScoringOptions,Notes
EMD-066,C. Key Questions,(>50) Has s/he ever been diagnosed with an aortic aneurysm?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-067,C. Key Questions,(No) Ask her/him to describe the pain.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-068,C. Key Questions,(>50) Did s/he faint (pass out) or nearly faint?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-069,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-070,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-071,C. Key Questions,(Yes) Does s/he have any difficulty speaking/crying between breaths?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-072,C. Key Questions,(Not 1st party) Is s/he changing color?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-073,C. Key Questions,(Yes) Describe the color change?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-074,C. Key Questions,Is s/he clammy or having cold sweats?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-075,C. Key Questions,Does s/he have asthma or other lung problems?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-076,C. Key Questions,(Yes) Does s/he have a perscribed inhaler?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-077,C. Key Questions,(Yes) Has s/he used it yet?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-078,C. Key Questions,(Trach) Does s/he have any special equipment or instructions?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-079,C. Key Questions,(Yes) Have they been used?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-080,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-081,C. Key Questions,(Suspected) Is anything still burning or smoldering?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-082,C. Key Questions,Is everyone safe and out of danger?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-083,C. Key Questions,How was s/he burned/injured?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-084,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-085,C. Key Questions,Is s/he having any difficulty breathing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-086,C. Key Questions,Does s/he have any difficulty speaking/crying between breaths?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-087,C. Key Questions,What parts of the body were burned/injured?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-088,C. Key Questions,When did this happen?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-089,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-090,C. Key Questions,Is everyone safe and out of danger?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-091,C. Key Questions,What kind of chemicals/fumes or Hazmat is involved?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-092,C. Key Questions,Where are the chemicals/fumes coming from?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-093,C. Key Questions,Is s/he contaminated (skin contact) with chemicals?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-094,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-095,C. Key Questions,Is s/he having any difficulty breathing?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-096,C. Key Questions,Does s/he have any difficulty speaking/crying between breaths?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-097,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-098,C. Key Questions,"(Suspected death) Tell me please, why does it look like s/he's dead?","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-099,C. Key Questions,(OBVIOUS DEATH) Do you think s/he is beyond any help (CPR)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-100,C. Key Questions,(EXPECTED)Are you certain we should not try to resuscitate him/her?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-101,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-102,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-103,C. Key Questions,Is s/he breathing normally?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-104,C. Key Questions,(No and Alert) Does s/he have any difficulty speaking/crying?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-105,C. Key Questions,(Not 1st party) Is s/he changing color?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-106,C. Key Questions,(Yes) Describe the color change.,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-107,C. Key Questions,Is s/he clammy or having cold sweats?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-108,C. Key Questions,Has s/he ever had a heart attack or angina (heart pains)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-109,C. Key Questions,Has s/he take any drugs or medications in the past 12 hours?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-110,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-111,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-112,C. Key Questions,Is s/he breathing normally?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-113,C. Key Questions,(Alert & breathing normally) Is s/he able to talk/cry?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-114,C. Key Questions,What did s/he choke on?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-115,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-116,C. Key Questions,Has s/he had more than one seizure in a row?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-117,C. Key Questions,(Yes) Was s/he alert between the seizures?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-118,C. Key Questions,(Female 12-50) Is she pregnant?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-119,C. Key Questions,Is s/he diabetic?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-120,C. Key Questions,Is s/he epileptic (diagnosed with a seizure disorder)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-121,C. Key Questions,Does s/he have a history of STROKE or brain tumor?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-122,C. Key Questions,(Non-FOCAL) has the jerking (twitching) stopped yet?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-123,C. Key Questions,"(Yes) Okay, is s/he breathing right now?","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-124,C. Key Questions,(Yes) Agonal Breathing Test done,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-125,C. Key Questions,(FOCAL) Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-126,C. Key Questions,"(No) Okay, is s/he breathing right now?","1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-127,C. Key Questions,(Yes/Unsure) Agonal Breathing Test done,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-128,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-129,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-130,C. Key Questions,is s/he behaving normally now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-131,C. Key Questions,is s/he breathing normally?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-132,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-133,C. Key Questions,Where is s/he right now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-134,C. Key Questions,Does s/he have any injuries?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-135,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-136,C. Key Questions,is s/he breathing normally?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-137,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-138,C. Key Questions,(Electrocution) Has the power been turned off?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-139,C. Key Questions,(No) Is s/he disconnected from the power?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-140,C. Key Questions,(Electrocution) Where is s/he right now?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-141,C. Key Questions,(Suspected) Is anything still on fire?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-142,C. Key Questions,Did s/he fall off something when this happened?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-143,C. Key Questions,(Yes) How far did s/he fall?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-144,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-145,C. Key Questions,is s/he breathing normally?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-146,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-147,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-148,C. Key Questions,How did this happen?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-149,C. Key Questions,(TRAUMA) Is the eyeball cut open or is fluid leaking out of it?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-150,C. Key Questions,Were all Key Questions asked in order?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-151,C. Key Questions,(Not ground level) How far did s/he fall?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-152,C. Key Questions,What caused the fall?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-153,C. Key Questions,Is there any SERIOUS bleeding (spurting or pouring)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
EMD-154,C. Key Questions,Is s/he completely alert (responding appropriately)?,"1=Correct,2=Not Asked,3=Incorrect,4=Not Scripted,5=N/A,6=Obvious,RC=Recorded Correctly",
